Scientific Name,Local Name,Aquarium Demand met by,Occurrence,Other Name
Amphiprion akindynos,Barrier reef anemonefish,based mainly on capture,native,Barrier reef anemonefish
Amphiprion biaculeatus,,based mainly on capture,native,Spinecheek anemonefish
Amphiprion chrysopterus,,based mainly on capture,native,Orangefin anemonefish
Amphiprion clarkii,Clark's anemonefish,based mainly on capture,native,Yellowtail clownfish
Amphiprion latezonatus,,based mainly on capture,native,Wide-band Anemonefish
Amphiprion leucokranos,White-bonnet anemonefish,based mainly on capture,native,Whitebonnet anemonefish
Amphiprion mccullochi,McCulloch's Anemonefish,based mainly on capture,native,Whitesnout anemonefish
Amphiprion melanopus,,based mainly on capture,native,Fire clownfish
Amphiprion ocellaris,,based mainly on capture,native,Clown anemonefish
Amphiprion percula,,based mainly on capture,native,Orange clownfish
Amphiprion perideraion,Pink anemonefish,based mainly on capture,native,Pink anemonefish
Amphiprion polymnus,Saddleback anemonefish,based mainly on capture,native,Saddleback clownfish
Amphiprion rubrocinctus,Australian anemonefish,based mainly on capture,native,Red Anemonefish
Amphiprion sandaracinos,Orange anemonefish,based mainly on capture,native,Yellow clownfish
Anabas testudineus,,based mainly on breeding,introduced,Climbing perch
Anampses caeruleopunctatus,,based mainly on capture,native,Bluespotted wrasse
Anampses elegans,,based mainly on capture,native,Elegant wrasse
Anampses femininus,,based mainly on capture,native,Blue-striped orange tamarin
Anampses geographicus,,based mainly on capture,native,Geographic wrasse
Anampses lennardi,,based mainly on capture,endemic,Blue-and-yellow wrasse
Anampses melanurus,,based mainly on capture,native,White-spotted wrasse
Anampses meleagrides,,based mainly on capture,native,Spotted wrasse
Anampses neoguinaicus,,based mainly on capture,native,New Guinea wrasse
Anomalops katoptron,,based mainly on capture,native,Splitfin flashlightfish
Antennarius maculatus,,based mainly on capture,native,Warty frogfish
Antennarius striatus,,based mainly on capture,native,Striated frogfish
Apogon coccineus,Ruby cardinalfish,based mainly on capture,native,Ruby cardinalfish
Apogonichthyoides timorensis,Timor cardinalfish,,native,Timor cardinalfish
Apolemichthys trimaculatus,,based mainly on capture,native,Threespot angelfish
Aprion virescens,,based mainly on capture,native,Green jobfish
Arothron caeruleopunctatus,,based mainly on capture,native,Blue-spotted puffer
Arothron hispidus,,based mainly on capture,native,White-spotted puffer
Arothron meleagris,,based mainly on capture,native,Guineafowl puffer
Aspidontus dussumieri,,based mainly on capture,native,Lance blenny
Aspidontus taeniatus,,based mainly on capture,native,False cleanerfish
Assessor flavissimus,,,native,Yellow devilfish
Assessor macneilli,,,native,Blue devilfish
Asterropteryx semipunctata,Starry goby,based mainly on capture,native,Starry goby
Atrosalarias holomelas,Brown coral blenny,based mainly on capture,native,Brown coral blenny
Atypichthys latus,,,native,Eastern footballer
Aulostomus chinensis,Trumpetfish,based mainly on capture,native,Chinese trumpetfish
Azurina elerae,,based mainly on capture,native,Twinspot chromis
Balistapus undulatus,Orange-lined triggerfish,based mainly on capture,native,Orange-lined triggerfish
Balistoides conspicillum,Clown triggerfish,based mainly on capture,native,Clown triggerfish
Bathygobius cocosensis,Cocos goby,based mainly on capture,native,Cocos frill-goby
Bathytoshia brevicaudata,Smooth stingray,,native,Short-tail stingray
Blenniella chrysospilos,,based mainly on capture,native,Red-spotted blenny
Blennodesmus scapularis,,based mainly on capture,native,Ocellate eel blenny
Bodianus anthioides,,based mainly on capture,native,Lyretail hogfish
Bodianus axillaris,,based mainly on capture,native,Axilspot hogfish
Bodianus bilunulatus,,based mainly on capture,native,Tarry hogfish
Bodianus bimaculatus,,based mainly on capture,native,Twospot hogfish
Bodianus diana,,based mainly on capture,misidentification,Diana's hogfish
Bodianus izuensis,,,native,Striped pigfish
Bodianus loxozonus,,based mainly on capture,native,Blackfin hogfish
Bodianus mesothorax,,based mainly on capture,native,Splitlevel hogfish
Bodianus perditio,Goldspot pigfish,based mainly on capture,native,Golden-spot hogfish
Bolbometopon muricatum,Bumphead parrotfish,based mainly on capture,native,Green humphead parrotfish
Bothus mancus,Flowery flounder,based mainly on capture,native,Flowery flounder
Bryaninops amplus,Large whip goby,based mainly on capture,native,Large whip goby
Bryaninops natans,,based mainly on capture,native,Redeye goby
Bryaninops tigris,,based mainly on capture,native,Black coral goby
Bryaninops yongei,,,native,Whip coral goby
Butis amboinensis,Ambon gudgeon,based mainly on capture,native,Olive flathead-gudgeon
Callionymus belcheri,,,native,Belcher’s dragonet
Callionymus goodladi,Goodlad's stinkfish,based mainly on capture,endemic,Goodlad's stinkfish
Callionymus pleurostictus,,,native,Blue-spotted ruddertail dragonet
Callogobius hasseltii,,based mainly on capture,native,Hasselt's goby
Calotomus carolinus,,based mainly on capture,native,Carolines parrotfish
Calotomus spinidens,,,native,Spinytooth parrotfish
Cantherhines dumerilii,,based mainly on capture,native,Whitespotted filefish
Canthigaster amboinensis,,based mainly on capture,native,Spider-eye puffer
Canthigaster janthinoptera,Spotted puffer,based mainly on capture,native,Honeycomb toby
Canthigaster rivulata,Brown-lined puffer,based mainly on capture,native,Brown-lined puffer
Canthigaster solandri,,based mainly on capture,native,Spotted sharpnose
Canthigaster valentini,,based mainly on capture,native,Valentin's sharpnose puffer
Caracanthus maculatus,Spotted croucher,based mainly on capture,native,Spotted coral croucher
Centriscus scutatus,,,native,Grooved razor-fish
Centropyge aurantia,Golden angelfish,based mainly on capture,native,Golden angelfish
Centropyge bispinosa,,based mainly on capture,native,Twospined angelfish
Centropyge eibli,Eibl's angelfish,based mainly on capture,native,Blacktail angelfish
Centropyge fisheri,,based mainly on capture,native,Orange angelfish
Centropyge flavissima,,based mainly on capture,native,Lemonpeel angelfish
Centropyge heraldi,,based mainly on capture,misidentification,Yellow angelfish
Centropyge loriculus,,based mainly on capture,native,Flame angel
Centropyge nox,Midnight angelfish,based mainly on capture,native,Midnight angelfish
Centropyge tibicen,,based mainly on capture,native,Keyhole angelfish
Centropyge vrolikii,,based mainly on capture,native,Pearlscale angelfish
Chaetodon adiergastos,Philippine butterflyfish,based mainly on capture,native,Philippine butterflyfish
Chaetodon aureofasciatus,,based mainly on capture,native,Golden butterflyfish
Chaetodon auriga,Threadfin butterflyfish,based mainly on capture,native,Threadfin butterflyfish
Chaetodon baronessa,Triangular butterflyfish,based mainly on capture,native,Eastern triangular butterflyfish
Chaetodon bennetti,,based mainly on capture,native,Bluelashed butterflyfish
Chaetodon citrinellus,,based mainly on capture,native,Speckled butterflyfish
Chaetodon ephippium,,based mainly on capture,native,Saddle butterflyfish
Chaetodon flavirostris,Dusky butterflyfish,based mainly on capture,native,Black butterflyfish
Chaetodon guentheri,,based mainly on capture,native,Crochet butterflyfish
Chaetodon kleinii,Klein's butterflyfish,based mainly on capture,native,Sunburst butterflyfish
Chaetodon lineolatus,,based mainly on capture,native,Lined butterflyfish
Chaetodon lunula,Racoon butterflyfish,based mainly on capture,native,Raccoon butterflyfish
Chaetodon melannotus,Blackback butterflyfish,based mainly on capture,native,Blackback butterflyfish
Chaetodon mertensii,,based mainly on capture,native,Atoll butterflyfish
Chaetodon meyeri,Meyer's butterflyfish,based mainly on capture,native,Scrawled butterflyfish
Chaetodon ocellicaudus,Spot-tail butterflyfish,based mainly on capture,native,Spot-tail butterflyfish
Chaetodon octofasciatus,,based mainly on capture,native,Eightband butterflyfish
Chaetodon ornatissimus,Ornate butterflyfish,based mainly on capture,native,Ornate butterflyfish
Chaetodon oxycephalus,,based mainly on capture,native,Spot-nape butterflyfish
Chaetodon pelewensis,Dot-and-dash butterflyfish,based mainly on capture,native,Sunset butterflyfish
Chaetodon plebeius,,based mainly on capture,native,Blueblotch butterflyfish
Chaetodon punctatofasciatus,,based mainly on capture,native,Spotband butterflyfish
Chaetodon rafflesii,,based mainly on capture,native,Latticed butterflyfish
Chaetodon rainfordi,Rainford's butterflyfish,based mainly on capture,native,Rainford's butterflyfish
Chaetodon reticulatus,,based mainly on capture,native,Mailed butterflyfish
Chaetodon semeion,Dotted butterflyfish,based mainly on capture,native,Dotted butterflyfish
Chaetodon speculum,,based mainly on capture,native,Mirror butterflyfish
Chaetodon trifascialis,,based mainly on capture,native,Chevron butterflyfish
Chaetodon trifasciatus,,based mainly on capture,native,Melon butterflyfish
Chaetodon ulietensis,,based mainly on capture,native,Pacific double-saddle butterflyfish
Chaetodon unimaculatus,,based mainly on capture,native,Teardrop butterflyfish
Chaetodon vagabundus,,based mainly on capture,native,Vagabond butterflyfish
Chaetodontoplus conspicillatus,Conspicuous angelfish,based mainly on capture,native,Conspicuous angelfish
Chaetodontoplus duboulayi,Scribbled angelfish,based mainly on capture,native,Scribbled angelfish
Chaetodontoplus mesoleucus,,based mainly on capture,native,Vermiculated angelfish
Chaetodontoplus personifer,,based mainly on capture,native,Blueface angelfish
Cheilinus chlorourus,,based mainly on capture,native,Floral wrasse
Cheilinus fasciatus,,based mainly on capture,native,Redbreasted wrasse
Cheilio inermis,,based mainly on capture,native,Cigar wrasse
Chelmon marginalis,Margined coralfish,based mainly on capture,native,Margined coralfish
Chelmon muelleri,,based mainly on capture,native,Blackfin coralfish
Chelmon rostratus,Beaked coralfish,based mainly on capture,native,Copperband butterflyfish
Chelmonops truncatus,,based mainly on capture,endemic,Eastern talma
Chiloscyllium punctatum,,based mainly on capture,native,Brownbanded bambooshark
Chlorurus bleekeri,Bleeker's parrotfish,based mainly on capture,native,Bleeker's parrotfish
Chlorurus frontalis,Reefcrest parrotfish,based mainly on capture,native,Pacific slopehead parrotfish
Chlorurus japanensis,Redtail parrotfish,based mainly on capture,native,Palecheek parrotfish
Chlorurus sordidus,,based mainly on capture,native,Daisy parrotfish
Choerodon cyanodus,Blue tuskfish,based mainly on capture,native,Blue tuskfish
Choerodon fasciatus,Harlequin tuskfish,based mainly on capture,native,Harlequin tuskfish
Choerodon jordani,,based mainly on capture,native,Jordan's tuskfish
Chromis analis,,based mainly on capture,native,Yellow chromis
Chromis atripectoralis,,based mainly on capture,native,Black-axil chromis
Chromis hypsilepis,,based mainly on capture,native,Brown puller
Chromis ternatensis,,based mainly on capture,native,Ternate chromis
Chromis viridis,,based mainly on capture,native,Blue green damselfish
Chromis xanthura,,based mainly on capture,native,Paletail chromis
Chrysiptera biocellata,,based mainly on capture,native,Twinspot damselfish
Chrysiptera brownriggii,Surge demoiselle,based mainly on capture,native,Surge damselfish
Chrysiptera caeruleolineata,Blueline demoiselle,based mainly on capture,native,Blueline demoiselle
Chrysiptera cyanea,,based mainly on capture,native,Sapphire devil
Chrysiptera flavipinnis,Yellowfin demoiselle,based mainly on capture,native,Yellowfin damselfish
Chrysiptera hemicyanea,Azure demoiselle,,native,Azure demoiselle
Chrysiptera rex,Pink demoiselle,based mainly on capture,native,King demoiselle
Chrysiptera rollandi,,based mainly on capture,native,Rolland's demoiselle
Chrysiptera tricincta,Threeband demoiselle,based mainly on capture,native,Threeband damselfish
Chrysiptera unimaculata,,based mainly on capture,native,Onespot demoiselle
Cirrhilabrus cyanopleura,Blueside wrasse,based mainly on capture,native,Blueside wrasse
Cirrhilabrus exquisitus,,based mainly on capture,native,Exquisite wrasse
Cirrhilabrus laboutei,,based mainly on capture,native,Laboute's wrasse
Cirrhilabrus lineatus,,based mainly on capture,native,Purplelined wrasse
Cirrhilabrus punctatus,,,native,Dotted wrasse
Cirrhilabrus scottorum,,based mainly on capture,native,Scott's wrasse
Cirrhilabrus temminckii,,based mainly on capture,native,Threadfin wrasse
Cirrhitichthys aprinus,,based mainly on capture,native,Spotted hawkfish
Cirrhitichthys falco,Dwarf hawkfish,based mainly on capture,native,Dwarf hawkfish
Cirrhitichthys oxycephalus,,based mainly on capture,native,Coral hawkfish
Cirrhitus pinnulatus,,based mainly on capture,native,Stocky hawkfish
Cirripectes alboapicalis,,based mainly on capture,native,Blackblotch blenny
Cirripectes castaneus,,based mainly on capture,native,Chestnut eyelash-blenny
Cirripectes chelomatus,,based mainly on capture,native,Lady Musgrave blenny
Cirripectes filamentosus,Filamentous blenny,based mainly on capture,native,Filamentous blenny
Cirripectes stigmaticus,,based mainly on capture,native,Red-streaked blenny
Conger cinereus,,based mainly on capture,native,Longfin African conger
Congrogadus subducens,,based mainly on capture,native,Carpet eel-blenny
Contusus richei,Prickly toadfish,,native,Prickly toadfish
Cookeolus japonicus,,,native,Longfinned bullseye
Coptodon zillii,,based mainly on breeding,introduced,Redbelly tilapia
Coradion altivelis,,based mainly on capture,native,Highfin coralfish
Coradion chrysozonus,,based mainly on capture,native,Goldengirdled coralfish
Coradion melanopus,,based mainly on capture,native,Twospot coralfish
Coris aygula,,based mainly on capture,native,Clown coris
Coris batuensis,,,native,Batu coris
Coris bulbifrons,Doubleheader,based mainly on capture,native,Doubleheader
Coris caudimacula,,based mainly on capture,native,Spottail coris
Coris dorsomacula,,based mainly on capture,native,Pale-barred coris
Coris picta,Comb wrasse,based mainly on capture,native,Comb wrasse
Coris pictoides,,based mainly on capture,native,Blackstripe coris
Coris sandeyeri,,based mainly on capture,native,Sandager's wrasse
Corythoichthys haematopterus,,based mainly on capture,native,Messmate pipefish
Cryptocentrus cinctus,Yellow shrimp goby,based mainly on capture,native,Yellow prawn-goby
Cryptocentrus fasciatus,Y-bar shrimp goby,based mainly on capture,native,Y-bar shrimp goby
Cryptocentrus strigilliceps,Target shrimp goby,based mainly on capture,native,Target shrimp goby
Ctenochaetus binotatus,Twospot bristletooth,,native,Twospot surgeonfish
Ctenochaetus striatus,Lined bristletooth,based mainly on capture,native,Striated surgeonfish
Ctenochaetus strigosus,,based mainly on capture,misidentification,Spotted surgeonfish
Ctenochaetus tominiensis,,based mainly on capture,native,Tomini surgeonfish
Ctenogobiops aurocingulus,,based mainly on capture,native,Gold-streaked prawn-goby
Ctenogobiops pomastictus,Spotfin shrimp goby,based mainly on capture,native,Gold-specked prawn-goby
Ctenogobiops tangaroai,Masted shrimp goby,based mainly on capture,native,Tangaroa shrimpgoby
Cypho purpurascens,,,native,Oblique-lined dottyback
Cyprinocirrhites polyactis,,,native,Swallowtail hawkfish
Cyprinus carpio,,based mainly on breeding,introduced,Common carp
Dactyloptena macracantha,,based mainly on capture,native,Spotwing flying gurnard
Dactyloptena orientalis,,based mainly on capture,native,Oriental flying gurnard
Dactylopus dactylopus,Fingered dragonet,based mainly on capture,native,Fingered dragonet
Dascyllus aruanus,,based mainly on capture,native,Whitetail dascyllus
Dascyllus melanurus,Blacktail humbug,based mainly on capture,native,Blacktail humbug
Dascyllus reticulatus,,based mainly on capture,native,Reticulate dascyllus
Dascyllus trimaculatus,,based mainly on capture,native,Threespot dascyllus
Dendrochirus biocellatus,,based mainly on capture,native,Twospot turkeyfish
Dendrochirus brachypterus,,based mainly on capture,native,Dwarf lionfish
Dendrochirus zebra,,based mainly on capture,native,Zebra turkeyfish
Diodon holocanthus,Freckled porcupinefish,based mainly on capture,native,Longspined porcupinefish
Diodon hystrix,,based mainly on capture,native,Spot-fin porcupinefish
Diodon liturosus,,based mainly on capture,native,Black-blotched porcupinefish
Diproctacanthus xanthurus,,based mainly on capture,native,Yellowtail tubelip
Discordipinna griessingeri,Spikefin goby,,native,Spikefin goby
Doryrhamphus excisus,Bluestripe pipefish,based mainly on capture,native,Bluestripe pipefish
Drepane longimana,,,native,Concertina fish
Echeneis naucrates,,based mainly on capture,native,Live sharksucker
Echidna nebulosa,Starry moray,based mainly on capture,native,Starry moray
Echidna polyzona,,based mainly on capture,native,Barred moray
Ecsenius aequalis,Fourline blenny,based mainly on capture,native,Fourline blenny
Ecsenius bicolor,,based mainly on capture,native,Bicolor blenny
Ecsenius lividanalis,,based mainly on capture,native,Blackspot coralblenny
Ecsenius midas,Midas blenny,based mainly on capture,native,Persian blenny
Ecsenius namiyei,,based mainly on capture,native,Black comb-tooth
Ecsenius schroederi,,based mainly on capture,native,Schroeder's coralblenny
Ecsenius tigris,,based mainly on capture,endemic,Tiger combtooth blenny
Ecsenius trilineatus,Three-lined blenny,based mainly on capture,native,Three-lined blenny
Ecsenius yaeyamaensis,,based mainly on capture,native,Yaeyama blenny
Eleotris acanthopomus,,based mainly on capture,native,Spinecheek gudgeon
Ellochelon vaigiensis,,based mainly on capture,native,Squaretail mullet
Enoplosus armatus,Old wife,,endemic,Old wife
Entomacrodus decussatus,Wavy-lined blenny,based mainly on capture,native,Wavy-lined blenny
Entomacrodus striatus,,based mainly on capture,native,Reef margin blenny
Eviota bifasciata,,based mainly on capture,native,Twostripe dwarfgoby
Eviota fasciola,,based mainly on capture,native,Barred dwarfgoby
Eviota infulata,,based mainly on capture,native,Shouldermark dwarfgoby
Eviota nigriventris,,based mainly on capture,questionable,Redbelly dwarfgoby
Eviota pellucida,,,misidentification,Transparent dwarfgoby
Evistias acutirostris,,based mainly on capture,native,Striped boarfish
Exyrias belissimus,,based mainly on capture,native,Mud reef-goby
Exyrias puntang,,based mainly on capture,native,Puntang goby
Fistularia commersonii,Smooth flutemouth,based mainly on capture,native,Bluespotted cornetfish
Foa brachygramma,,based mainly on capture,misidentification,Weed cardinalfish
Forcipiger flavissimus,,based mainly on capture,native,Longnose butterfly fish
Forcipiger longirostris,,based mainly on capture,native,Longnose butterflyfish
Fusigobius longispinus,,,native,Orange-spotted sand-goby
Fusigobius neophytus,,based mainly on capture,native,Common fusegoby
Fusigobius signipinnis,,,native,Signalfin goby
Gambusia affinis,Mosquito-fish,based mainly on breeding,introduced,Mosquitofish
Gambusia dominicensis,Domingo mosquito fish,based mainly on breeding,introduced,Dominican gambusia
Gambusia holbrooki,,based mainly on breeding,introduced,Eastern mosquitofish
Genicanthus lamarck,Lamarck's angelfish,based mainly on capture,native,Blackstriped angelfish
Genicanthus watanabei,Watanabe's angelfish,based mainly on capture,native,Blackedged angelfish
Glaucostegus typus,Giant shovelnose ray,,native,Giant shovelnose ray
Glossogobius giuris,Flathead goby,based mainly on capture,native,Tank goby
Glyptoparus delicatulus,,based mainly on capture,native,Delicate blenny
Gnathanodon speciosus,,based mainly on capture,native,Golden trevally
Gnatholepis cauerensis,Bridled goby,,native,Eyebar goby
Gobiodon citrinus,,based mainly on capture,native,Poison goby
Gobiodon histrio,,based mainly on capture,native,Broad-barred goby
Gobiodon okinawae,Okinawa goby,based mainly on capture,native,Okinawa goby
Gomphosus varius,,based mainly on capture,native,Bird wrasse
Goniistius vittatus,,based mainly on capture,native,Hawaiian morwong
Grammistes sexlineatus,,based mainly on capture,native,Goldenstriped soapfish
Gunnellichthys curiosus,Curious wormfish,based mainly on capture,native,Curious wormfish
Gunnellichthys monostigma,Onespot wormfish,based mainly on capture,native,Onespot wormfish
Gunnellichthys pleurotaenia,,,native,Onestripe wormfish
Gymnomuraena zebra,Zebra moray,based mainly on capture,native,Zebra moray
Gymnothorax eurostus,Stout moray,based mainly on capture,native,Abbott's moray eel
Gymnothorax meleagris,Whitemouth moray,based mainly on capture,native,Turkey moray
Gymnothorax nudivomer,Yellowmouth moray,,native,Yellowmouth moray
Gymnothorax prasinus,,based mainly on capture,native,Yellow moray
Gymnothorax rueppelliae,Banded moray,,native,Banded moray
Halichoeres argus,,based mainly on capture,native,Argus wrasse
Halichoeres biocellatus,,based mainly on capture,native,Red-lined wrasse
Halichoeres chloropterus,Pastel-green wrasse,based mainly on capture,native,Pastel-green wrasse
Halichoeres chrysus,Golden wrasse,based mainly on capture,native,Canary wrasse
Halichoeres hartzfeldii,,based mainly on capture,native,Hartzfeld's wrasse
Halichoeres hortulanus,Checkerboard wrasse,based mainly on capture,native,Checkerboard wrasse
Halichoeres margaritaceus,,based mainly on capture,native,Pink-belly wrasse
Halichoeres marginatus,Dusky wrasse,based mainly on capture,native,Dusky wrasse
Halichoeres melanochir,,based mainly on capture,native,Orangefin wrasse
Halichoeres melasmapomus,,based mainly on capture,native,Cheekspot wrasse
Halichoeres miniatus,,based mainly on capture,native,Circle-cheek wrasse
Halichoeres nebulosus,,based mainly on capture,native,Nebulous wrasse
Halichoeres ornatissimus,,based mainly on capture,native,Ornamented wrasse
Halichoeres prosopeion,Twotone wrasse,based mainly on capture,native,Twotone wrasse
Halichoeres scapularis,Zigzag wrasse,based mainly on capture,native,Zigzag wrasse
Halichoeres trimaculatus,Threespot wrasse,based mainly on capture,native,Threespot wrasse
Halichoeres zeylonicus,Goldstripe wrasse,based mainly on capture,native,Goldstripe wrasse
Helcogramma decurrens,Black-throated triplefin,based mainly on capture,native,Black-throated triplefin
Helcogramma striata,Tropical striped triplefin,based mainly on capture,native,Tropical striped triplefin
Hemiglyphidodon plagiometopon,Lagoon damsel,based mainly on capture,native,Lagoon damselfish
Hemigymnus fasciatus,,based mainly on capture,native,Barred thicklip
Hemigymnus melapterus,,based mainly on capture,native,Blackeye thicklip
Hemitaurichthys polylepis,,based mainly on capture,native,Pyramid butterflyfish
Heniochus acuminatus,,based mainly on capture,native,Pennant coralfish
Heniochus chrysostomus,,based mainly on capture,native,Threeband pennantfish
Heniochus diphreutes,,based mainly on capture,native,False moorish idol
Heniochus monoceros,,based mainly on capture,native,Masked bannerfish
Heniochus singularius,,based mainly on capture,native,Singular bannerfish
Heniochus varius,,based mainly on capture,native,Horned bannerfish
Heteroconger hassi,Spotted garden eel,,native,Spotted garden-eel
Heteropriacanthus cruentatus,,based mainly on capture,native,Glasseye
Heteroscarus acroptilus,Rainbow cale,based mainly on capture,native,Rainbow cale
Himantura uarnak,Reticulate whipray,based mainly on capture,native,Honeycomb stingray
Hippichthys heptagonus,,,native,Belly pipefish
Hippocampus histrix,,based mainly on capture,native,Thorny seahorse
Hippocampus kuda,Spotted seahorse,based mainly on capture,native,Spotted seahorse
Hologymnosus annulatus,,based mainly on capture,native,Ring wrasse
Hologymnosus doliatus,,based mainly on capture,native,Pastel ringwrasse
Hoplolatilus cuniculus,,,native,Dusky tilefish
Hoplolatilus starcki,,,native,Stark's tilefish
Hypseleotris aurea,,based mainly on breeding,endemic,Golden carp gudgeon
Hypseleotris compressa,Empire gudgeon,,native,Empire gudgeon
Iniistius aneitensis,,based mainly on capture,native,Yellowblotch razorfish
Iniistius dea,,based mainly on capture,native,Blackspot razorfish
Iniistius pavo,,based mainly on capture,native,Peacock wrasse
Iniistius pentadactylus,Fivefinger razorfish,based mainly on capture,native,Fivefinger wrasse
Inimicus didactylus,,based mainly on capture,native,Bearded ghoul
Iriatherina werneri,Threadfin rainbowfish,,native,Threadfin rainbowfish
Istiblennius edentulus,Coral blenny,based mainly on capture,native,Rippled rockskipper
Istiblennius lineatus,,based mainly on capture,native,Lined rockskipper
Istigobius decoratus,,based mainly on capture,native,Decorated goby
Istigobius goldmanni,,based mainly on capture,native,Goldman's goby
Istigobius hoesei,,,native,Hoese's sandgoby
Istigobius nigroocellatus,Black-spotted goby,based mainly on capture,native,Black-spotted goby
Istigobius ornatus,,,native,Ornate goby
Jordanella floridae,American Flagfish,based mainly on breeding,introduced,Flagfish
Koumansetta hectori,,based mainly on capture,misidentification,Hector's goby
Koumansetta rainfordi,Old glory,,native,Old glory
Labracinus lineatus,,,endemic,Lined dottyback
Labrichthys unilineatus,,based mainly on capture,native,Tubelip wrasse
Labroides bicolor,,based mainly on capture,native,Bicolor cleaner wrasse
Labroides dimidiatus,,based mainly on capture,native,Bluestreak cleaner wrasse
Labroides pectoralis,,based mainly on capture,native,Blackspot cleaner wrasse
Labropsis manabei,,,native,Northern tubelip
Labropsis xanthonota,Yellowback tubelip,based mainly on capture,native,Yellowback tubelip
Lactoria cornuta,Longhorn cowfish,based mainly on capture,native,Longhorn cowfish
Lactoria diaphana,Roundbelly cowfish,based mainly on capture,native,Roundbelly cowfish
Lactoria fornasini,,based mainly on capture,native,Thornback cowfish
Lagocephalus lunaris,,,native,Lunartail puffer
Lagocephalus sceleratus,North-West blowfish,,native,Silver-cheeked toadfish
Leiopotherapon aheneus,Fortescus grunter,based mainly on capture,endemic,Fortescus grunter
Lepidozygus tapeinosoma,Fusiler damsel,based mainly on capture,native,Fusilier damselfish
Leptojulis cyanopleura,,based mainly on capture,native,Shoulder-spot wrasse
Leptoscarus vaigiensis,,based mainly on capture,native,Marbled parrotfish
Liocranium praepositum,Blackspot waspfish,based mainly on capture,native,Blackspot waspfish
Lobotes surinamensis,,,native,Tripletail
Lubbockichthys multisquamatus,,,native,Fine-scaled dottyback
Lutjanus decussatus,,based mainly on capture,native,Checkered snapper
Lutjanus fulvus,,based mainly on capture,native,Blacktail snapper
